bank,bank_id,year,ori_score,fitted,residual,leverage,cooks_distance,studentized_residual,high_cooks_distance
CalBank PLC,CALBANK_PLC,2025,100.0,103.85932169047933,-3.8593216904793337,0.36280236514625874,0.00962728459930846,-0.6729480437538992,False
GCB Bank PLC,GCB_BANK_PLC,2025,87.5,92.45261527319518,-4.952615273195178,0.28020929252152554,0.00959620016291512,-0.8137896367281926,False
GCB Bank PLC,GCB_BANK_PLC,2022,100.0,94.14531836363673,5.854681636363267,0.22622149117091783,0.009368437265104987,0.9292239469760473,False
Standard Chartered Bank Ghana PLC,STANDARD_CHARTERED_BANK_GHANA_PLC,2024,100.0,95.13074878587997,4.869251214120027,0.27565186096921324,0.009010536377971619,0.7974151845706844,False
Republic Bank (Ghana) PLC,REPUBLIC_BANK_GHANA_PLC,2025,100.0,96.65073990233336,3.349260097666644,0.3456523462077654,0.006550586883695916,0.5757862540300712,False
First Atlantic Bank PLC,FIRST_ATLANTIC_BANK_PLC,2020,87.5,84.48276957367469,3.0172304263253125,0.3704442009959582,0.006155046678937382,0.528615607093768,False
Standard Chartered Bank Ghana PLC,STANDARD_CHARTERED_BANK_GHANA_PLC,2021,100.0,95.89561136402128,4.104388635978722,0.2627600984357296,0.005891132007290638,0.6653018776106272,False
Ecobank Ghana PLC,ECOBANK_GHANA_PLC,2020,87.5,83.38067728796219,4.119322712037814,0.25706226166684354,0.005716696929102201,0.6651562430911517,False
GCB Bank PLC,GCB_BANK_PLC,2021,87.5,91.8294834139954,-4.329483413995405,0.23871776688116333,0.0055850307098613714,-0.6907950284968906,False
GCB Bank PLC,GCB_BANK_PLC,2020,87.5,91.55476983481687,-4.054769834816867,0.2497178745956204,0.005275855524723143,-0.6514330530570165,False
Consolidated Bank Ghana (CBG) Limited,CONSOLIDATED_BANK_GHANA_CBG_LIMITED,2020,75.0,77.95240816878383,-2.9524081687838333,0.33008959911243896,0.004637791775231165,-0.5013325949090639,False
Societe Generale Ghana PLC,SOCIETE_GENERALE_GHANA_PLC,2022,100.0,103.25340620160856,-3.2534062016085556,0.2737762666867193,0.003974582832543332,-0.5307119364904469,False
Consolidated Bank Ghana (CBG) Limited,CONSOLIDATED_BANK_GHANA_CBG_LIMITED,2021,75.0,78.25952469809958,-3.2595246980995825,0.26187679391522,0.0036940936329122303,-0.5273929210077306,False
Agricultural Development Bank (ADB) PLC,AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,2024,75.0,78.4572507545367,-3.4572507545367017,0.2425005654929243,0.003654011757133156,-0.5522947743748045,False
Consolidated Bank Ghana (CBG) Limited,CONSOLIDATED_BANK_GHANA_CBG_LIMITED,2023,75.0,76.98003367005845,-1.9800336700584467,0.4186050841264797,0.003512102972742502,-0.36058096394881556,False
Access Bank (Ghana) PLC,ACCESS_BANK_GHANA_PLC,2022,100.0,103.01373648256865,-3.013736482568646,0.2649360430710671,0.003221524146177865,-0.48849438934847944,False
Consolidated Bank Ghana (CBG) Limited,CONSOLIDATED_BANK_GHANA_CBG_LIMITED,2022,75.0,77.04190086243018,-2.0419008624301824,0.3905386863672613,0.0031710356891104523,-0.36318969972755805,False
Consolidated Bank Ghana (CBG) Limited,CONSOLIDATED_BANK_GHANA_CBG_LIMITED,2025,87.5,85.96164698966746,1.5383530103325427,0.4491127546489156,0.0025333897925096317,0.28769849701253813,False
Standard Chartered Bank Ghana PLC,STANDARD_CHARTERED_BANK_GHANA_PLC,2025,100.0,97.28290524281145,2.7170947571885478,0.25419052101895434,0.0024404683128710007,0.4370729651413288,False
Societe Generale Ghana PLC,SOCIETE_GENERALE_GHANA_PLC,2024,100.0,97.59922313758675,2.4007768624132524,0.27853465194421456,0.0022310634592099376,0.3925434588258504,False
Stanbic Bank Ghana Limited,STANBIC_BANK_GHANA_LIMITED,2025,100.0,97.83432895020347,2.1656710497965292,0.31089311495530075,0.0022211759303239786,0.362258808529546,False
CalBank PLC,CALBANK_PLC,2024,100.0,98.55518392984818,1.4448160701518162,0.4477996193863998,0.0022175605872767575,0.26986400914222003,False
Fidelity Bank Ghana Limited,FIDELITY_BANK_GHANA_LIMITED,2022,100.0,102.71197595353702,-2.7119759535370207,0.2381946732433666,0.002183613418162532,-0.43163003730881516,False
Societe Generale Ghana PLC,SOCIETE_GENERALE_GHANA_PLC,2020,100.0,102.17617296482193,-2.17617296482193,0.3031786780697378,0.0021389600073478485,-0.36199438450461485,False
Societe Generale Ghana PLC,SOCIETE_GENERALE_GHANA_PLC,2025,100.0,98.07426413975674,1.9257358602432646,0.33983888408923324,0.002091831382264234,0.32905405065712123,False
GCB Bank PLC,GCB_BANK_PLC,2024,87.5,89.518837643566,-2.018837643566002,0.3239630252673864,0.0020898609221160517,-0.3409081307330251,False
Fidelity Bank Ghana Limited,FIDELITY_BANK_GHANA_LIMITED,2024,100.0,97.79353334463538,2.206466655364622,0.2818001091638553,0.0019240009196303616,0.3615286752532588,False
CalBank PLC,CALBANK_PLC,2022,100.0,102.00756263401983,-2.007562634019834,0.30903612788432344,0.0018871083263920572,-0.33531299291035993,False
Access Bank (Ghana) PLC,ACCESS_BANK_GHANA_PLC,2021,100.0,97.67866225260241,2.3213377473975925,0.2350250341776043,0.0015655119833403422,0.3685524964858418,False
Access Bank (Ghana) PLC,ACCESS_BANK_GHANA_PLC,2020,100.0,101.96528797782413,-1.9652879778241328,0.2819376199133567,0.0015277107198729593,-0.3219776279143743,False
Zenith Bank (Ghana) Limited,ZENITH_BANK_GHANA_LIMITED,2025,75.0,76.8297858326546,-1.8297858326545935,0.28425060416770387,0.0013438165583276986,-0.30023171198767235,False
Absa Bank Ghana PLC,ABSA_BANK_GHANA_PLC,2025,100.0,101.82543206048076,-1.8254320604807646,0.2730571919060062,0.0012455022870701343,-0.2971984111471611,False
CalBank PLC,CALBANK_PLC,2021,100.0,101.36177268923163,-1.3617726892316284,0.31481517095300326,0.0008995171881816842,-0.2283044980615896,False
Zenith Bank (Ghana) Limited,ZENITH_BANK_GHANA_LIMITED,2024,75.0,73.4632328143045,1.5367671856954956,0.23732620595149445,0.0006970184210251327,0.24421747313066014,False
Stanbic Bank Ghana Limited,STANBIC_BANK_GHANA_LIMITED,2022,100.0,98.81833899868693,1.1816610013130742,0.29750223828624794,0.0006089003218169944,0.19563172576017965,False
Access Bank (Ghana) PLC,ACCESS_BANK_GHANA_PLC,2025,100.0,98.90878098442398,1.0912190155760157,0.3053845613898183,0.000545182761843506,0.1816734675892393,False
Access Bank (Ghana) PLC,ACCESS_BANK_GHANA_PLC,2024,100.0,98.78593660361639,1.214063396383608,0.263962805028826,0.0005195005277441566,0.19636372859972384,False
Absa Bank Ghana PLC,ABSA_BANK_GHANA_PLC,2020,100.0,98.90905029319237,1.0909497068076348,0.26679688784114824,0.0004272692813113709,0.17678226604514174,False
Absa Bank Ghana PLC,ABSA_BANK_GHANA_PLC,2021,100.0,98.96797625108037,1.0320237489196273,0.255419826052167,0.00035495320508447666,0.16594647929024803,False
First Atlantic Bank PLC,FIRST_ATLANTIC_BANK_PLC,2025,100.0,99.23319198307168,0.7668080169283229,0.3361883175165502,0.0003245085732851261,0.13057628367885887,False
Absa Bank Ghana PLC,ABSA_BANK_GHANA_PLC,2022,100.0,100.92741641580047,-0.9274164158004652,0.26097659118295213,0.0002972999063210014,-0.14967977894825074,False
Standard Chartered Bank Ghana PLC,STANDARD_CHARTERED_BANK_GHANA_PLC,2023,100.0,99.19013636462735,0.8098636353726505,0.2835788825379164,0.00026213256493258513,0.13274851379552519,False
Societe Generale Ghana PLC,SOCIETE_GENERALE_GHANA_PLC,2023,100.0,99.29056609551174,0.7094339044882645,0.25187482897293506,0.00016384008512028588,0.11379197133232888,False
Zenith Bank (Ghana) Limited,ZENITH_BANK_GHANA_LIMITED,2023,75.0,74.4828239105936,0.517176089406405,0.2928434639618863,0.00011330298252985186,0.08531965718691102,False
CalBank PLC,CALBANK_PLC,2020,100.0,99.58402805923211,0.41597194076788924,0.32019905969559215,8.672506892331021e-05,0.06998966002381758,False
Agricultural Development Bank (ADB) PLC,AGRICULTURAL_DEVELOPMENT_BANK_ADB_PLC,2023,75.0,75.29666308122243,-0.2966630812224338,0.41926003864412287,7.91420151089082e-05,-0.05400412723029149,False
