firm_size_c,firm_size_ln_assets,marginal_effect,ci_lower_95,ci_upper_95
-0.9921295750349461,22.235221522293884,-29.55151672577282,-61.46387286726858,2.360839415722939
-0.9716502135340206,22.25570088379481,-29.25786413193007,-60.51048096018694,1.994752696326799
-0.9511708520330949,22.276180245295734,-28.96421153808732,-59.56090911242639,1.6324860362517448
-0.9306914905321694,22.29665960679666,-28.67055894424457,-58.615408351560475,1.2742904630713348
-0.9102121290312437,22.317138968297584,-28.376906350401818,-57.67425041650494,0.9204377157013042
-0.8897327675303182,22.33761832979851,-28.083253756559067,-56.737729713344045,0.5712222002259111
-0.8692534060293926,22.358097691299434,-27.789601162716316,-55.80616546167788,0.22696313624524933
-0.8487740445284669,22.37857705280036,-27.495948568873565,-54.879904046621235,-0.11199309112589617
-0.8282946830275414,22.39905641430129,-27.202295975030818,-53.959321591235344,-0.44527035882629207
-0.8078153215266157,22.419535775802213,-26.908643381188067,-53.04482676313431,-0.7724599992418248
-0.7873359600256902,22.44001513730314,-26.61499078734532,-52.13686382700995,-1.0931177476806937
-0.7668565985247646,22.460494498804064,-26.32133819350257,-51.2359159515208,-1.4067604354843368
-0.746377237023839,22.48097386030499,-26.02768559965982,-50.34250877395934,-1.7128624253603029
-0.7258978755229133,22.501453221805914,-25.734033005817068,-49.457214218801724,-2.0108517928324083
-0.7054185140219877,22.52193258330684,-25.440380411974317,-48.58065455599221,-2.3001062679564193
-0.6849391525210622,22.542411944807768,-25.146727818131566,-47.713506670817594,-2.5799489654455385
-0.6644597910201366,22.562891306308693,-24.853075224288816,-46.856506498554005,-2.8496439500236264
-0.643980429519211,22.583370667809618,-24.559422630446065,-46.01045355266807,-3.1083917082240653
-0.6235010680182853,22.603850029310543,-24.265770036603314,-45.17621544411381,-3.3553246290928165
-0.6030217065173598,22.624329390811468,-23.972117442760567,-44.3547322500999,-3.5895026354212334
-0.5825423450164342,22.644808752312393,-23.678464848917816,-43.54702054272204,-3.809909155113594
-0.5620629835155087,22.665288113813318,-23.38481225507507,-42.75417683063023,-4.015447679519909
-0.541583622014583,22.685767475314247,-23.091159661232318,-41.9773801008354,-4.204939221629239
-0.5211042605136573,22.706246836815172,-22.797507067389567,-41.217893074618914,-4.377121060160221
-0.5006248990127318,22.726726198316097,-22.503854473546816,-40.47706171507497,-4.530647232018669
-0.4801455375118062,22.747205559817022,-22.210201879704066,-39.75631245065535,-4.664091308752781
-0.45966617601088056,22.767684921317947,-21.916549285861315,-39.057146519292715,-4.775952052429911
-0.439186814509955,22.788164282818872,-21.622896692018564,-38.381130805400666,-4.864662578636462
-0.41870745300902945,22.808643644319798,-21.329244098175817,-37.7298845554467,-4.928603640904932
-0.3982280915081038,22.829123005820726,-21.035591504333066,-37.10506143796674,-4.966121570699393
-0.37774873000717824,22.84960236732165,-20.741938910490315,-36.50832658226797,-4.975551238712665
-0.35726936850625257,22.870081728822576,-20.448286316647565,-35.941328503873,-4.955244129422127
-0.336790007005327,22.8905610903235,-20.154633722804817,-35.40566621057599,-4.9036012350336495
-0.31631064550440147,22.911040451824427,-19.860981128962067,-34.90285226923233,-4.819109988691801
-0.2958312840034758,22.93151981332535,-19.567328535119316,-34.43427316363929,-4.700383906599345
-0.27535192250255025,22.951999174826277,-19.273675941276565,-34.00114882375038,-4.546203058802753
-0.2548725610016246,22.972478536327202,-18.980023347433814,-33.6044936677587,-4.355553027108925
-0.23439319950069903,22.99295789782813,-18.686370753591063,-33.245081772278986,-4.1276597349031405
-0.21391383799977348,23.013437259329056,-18.392718159748316,-32.92341878397171,-3.8620175355249238
-0.19343447649884782,23.03391662082998,-18.099065565905565,-32.63972285728983,-3.5584082745213
-0.17295511499792227,23.054395982330906,-17.805412972062815,-32.39391625477507,-3.21690968935056
-0.1524757534969966,23.07487534383183,-17.511760378220064,-32.18562835239325,-2.837892404046878
-0.13199639199607105,23.095354705332756,-17.218107784377313,-32.01420978276743,-2.422005785987194
-0.1115170304951455,23.11583406683368,-16.924455190534566,-31.87875648145425,-1.970153899614882
-0.09103766899421983,23.13631342833461,-16.630802596691815,-31.778141623134037,-1.4834635702495937
-0.07055830749329428,23.156792789835535,-16.337150002849064,-31.711052948877327,-0.9632470568208014
-0.05007894599236862,23.17727215133646,-16.043497409006314,-31.67603283149466,-0.4109619865179699
-0.029599584491443065,23.197751512837385,-15.749844815163565,-31.671518577879233,0.17182894755210398
-0.009120222990517401,23.21823087433831,-15.456192221320814,-31.69588085155273,0.7834964089111001
0.011359138510408151,23.238710235839235,-15.162539627478063,-31.747458618445677,1.4223793634895525
0.031838500011333704,23.25918959734016,-14.868887033635314,-31.82458957869585,2.086815511425222
0.052317861512259256,23.279668958841086,-14.575234439792565,-31.925635570190835,2.7751666906057064
0.07279722301318503,23.300148320342014,-14.281581845949813,-32.04900286601962,3.4858391741199988
0.09327658451411058,23.32062768184294,-13.987929252107062,-32.19315761520789,4.217299110993764
0.11375594601503614,23.341107043343865,-13.694276658264313,-32.35663689298335,4.968083576454726
0.1342353075159617,23.36158640484479,-13.400624064421564,-32.538055946409635,5.736807817566508
0.15471466901688724,23.382065766345715,-13.106971470578815,-32.73611226365949,6.5221693225018615
