year,observations,banks,ori_mean,ori_sd,ori_median,full_disclosure_rate,board_independence_mean,firm_size_mean
2020,16,16,89.0625,11.967838846954226,87.5,0.4375,0.5264565295815296,22.707731774293155
2021,16,16,89.0625,12.808688457449497,93.75,0.5,0.5642789502164502,22.89978295382314
2022,16,16,92.1875,11.967838846954226,100.0,0.6875,0.5492557789432789,23.067413933088083
2023,16,16,89.84375,11.382323649706445,93.75,0.5,0.5409722222222222,23.332768152130672
2024,15,15,90.0,10.773645092141683,87.5,0.4666666666666667,0.5088455988455988,23.619639276696436
2025,16,16,92.96875,10.174262872562315,100.0,0.625,0.4681231962481962,23.761288505151942
