variable,count,mean,std,min,25%,median,75%,max
ori_score,95.0,90.52631578947368,11.345016813339713,62.5,75.0,100.0,100.0,100.0
board_independence,95.0,0.5265060086112717,0.1740048027572695,0.2307692307692307,0.4,0.5,0.625,0.9
firm_size_ln_assets,95.0,23.227351097328828,0.6109016821194326,21.93614299488596,22.806839687439684,23.19976079074197,23.606531866354786,24.68214416451521
roa,95.0,0.019868534662897924,0.035017928159327125,-0.1418051823373116,0.0133977743006335,0.0263836709054247,0.04120611782145555,0.0659948328334765
liquidity_ratio,95.0,0.273657651925774,0.10329248150309943,0.0740978372202302,0.20846037838868098,0.2675849081039079,0.33747796946832576,0.5535951572048469
leverage_ratio,95.0,0.8680414658894404,0.05396623896579022,0.7311132544302328,0.8362487399488223,0.8681504790564091,0.8963964399349309,1.0671494243605724
