firm_size_level,firm_size_c,board_independence_slope,std_error,ci_lower_95,ci_upper_95,p_value,significance
Firm size: -1 SD,-0.6109016821194326,-24.08510803940889,10.502111650360579,-44.66924687411563,-3.5009692047021552,0.0249244351524126,**
Firm size: mean,0.0,-15.325417776157146,8.36233188516824,-31.715588271086897,1.0647527187726062,0.0712295363227473,*
Firm size: +1 SD,0.6109016821194326,-6.565727512905401,16.89213456158178,-39.674311253605694,26.54285622779489,0.6987231915391959,
