variable,vif
const,1.0
board_independence_c,1.188141059548966
firm_size_c,1.6955976440479312
board_x_size,1.055145281530113
roa,2.6301985902705174
liquidity_ratio,1.127025619034618
leverage_ratio,2.96241282142538
