variable,count,mean,std,min,25%,median,75%,max
capital_adequacy_ratio,71.0,19.394507042253522,11.543818480496997,4.45,13.325,19.47,22.39,74.3
npl_ratio,43.0,18.931627906976743,12.53024530034515,1.0,12.780000000000001,15.98,21.645,75.36
